contributor,total_commits
AdamWysokinski,2228
cncastillo,1027
jakubMitura14,795
pvillacorta,673
DilumAluthge,643
beorostica,549
mirestrepo,468
mcmcgrath13,268
TheCedarPrince,197
paulstey,188
yolhan83,182
termi-official,127
notZaki,113
Nosferican,96
rkierulf,95
divital-coder,73
jagiellonczyk14,68
Stockless,53
ParamThakkar123,47
Jay-sanjay,41
jasonk33,34
InterdisciplinaryPhysicsTeam,33
Mounika-Thakkallapally,28
github-actions[bot],27
gsahonero,27
dependabot[bot],25
curtcorum,24
devmotion,21
fdekerme,20
timholy,20
AshlinHarris,17
ibacher,15
vsaase,13
pitmonticone,10
bors[bot],9
ihnorton,9
JanZubik,9
JuliaTagBot,8
AbdAlazezAhmed,8
Vaibhavdixit02,7
tinorodriguez,7
bcbi-bot,6
simonster,6
ultradian,5
00krishna,5
Hetarth02,5
mateuszbaran,4
JeffBezanson,3
AaronGhost,3
StefanKarpinski,3
rupalimits,3
tkelman,2
adambrewster,2
jw3126,2
SimonDanisch,2
BenRussert,2
aTrotier,2
MarijaGijic,2
Farreeda,2
kylebeggs,2
nicoleepp,1
carlobaldassi,1
Dale-Black,1
davidssmith,1
Keno,1
ChrisRackauckas,1
logankilpatrick,1
MichelaRocchetti,1
pabloirarrazaval,1
calberolalopez,1
gabuzi,1
fredrikekre,1
fossabot,1
dublinsubway,1
asinghvi17,1
fchichorro,1
Abdelrahman912,1
